pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
100701,19,AAFFFZFAAFZFZFFFACAFFFZFFZFZFFFACCAFFFZFAAFFZFFF,1.61,162AAFFFZFAAFZFZFFFACAFFFZFFZFZFFFACCAFFFZFAAFFZFFF,24.49,22.05,16.04
100703,19,AAFFFZFAAFZFFZFAAFFZFFFZFZFZFFFACCAFFFZFAAFFZFFF,1.61,162AAFFFZFAAFZFFZFAAFFZFFFZFZFZFFFACCAFFFZFAAFFZFFF,23.29,21.11,15.16
100707,19,AAFFFZFFACAFFFZFFACAFFZFZFFFZFFAAFZFFFACCAFFFZFF,1.61,162AAFFFZFFACAFFFZFFACAFFZFZFFFZFFAAFZFFFACCAFFFZFF,21.16,20.21,14.28
100709,19,AAFAAFFFZFFACAFFZFZFFFZFFAAFZFFFACCAFFFZFZFFZFFF,1.61,162AAFAAFFFZFFACAFFZFZFFFZFFAAFZFFFACCAFFFZFZFFZFFF,30.87,28.51,21.02
100715,19,AAFAAFFZFFFZFAAFZFFFZFZFFFACCAFFFZFAAFFZFFFZFZFF,1.61,162AAFAAFFZFFFZFAAFZFFFZFZFFFACCAFFFZFAAFFZFFFZFZFF,24.24,22.02,15.94
100727,19,AAFFFAAFZFFFACCAFFFZFFZFFAAFFFZFZFAAFZFZFFZFFFZF,1.61,162AAFFFAAFZFFFACCAFFFZFFZFFAAFFFZFZFAAFZFZFFZFFFZF,33.06,29.16,22.40
100729,19,AAFFFAAFZFFFACCAFFFZFZFFFZFZFZFFZFAAFZFZFFZFFFZF,1.61,162AAFFFAAFZFFFACCAFFFZFZFFFZFZFZFFZFAAFZFZFFZFFFZF,23.53,20.58,15.30
100731,19,AAFACAFFFZFZFZFFZFFZFFFACCAFFFZFAAFFFAAFFZFFZFFF,1.61,162AAFACAFFFZFZFZFFZFFZFFFACCAFFFZFAAFFFAAFFZFFZFFF,38.98,31.63,25.41
100734,19,AAFAAFFFZFFZFFAAFFFAAFZFFFACCAFFFZFZFFFZFZFZFFZF,1.61,162AAFAAFFFZFFZFFAAFFFAAFZFFFACCAFFFZFZFFFZFZFZFFZF,26.88,23.74,18.02
100739,19,AAFFFAAFFFACAFZFZFFFZFFAAFFFAAFZFFFACCAFFFZFFZFF,1.97,198AAFFFAAFFFACAFZFZFFFZFFAAFFFAAFZFFFACCAFFFZFFZFF,18.54,17.64,12.19
100755,19,AAFFFAAFFFZFZFFFACAFZFFAAFFZFFFAAFFZFFFACCAFFFZF,1.97,198AAFFFAAFFFZFZFFFACAFZFFAAFFZFFFAAFFZFFFACCAFFFZF,14.48,12.93,8.54
100756,19,AAFFFAAFFFZFZFFFACAFZFFAAFFFAAFFFZFZFFFACCAFFFZF,1.97,198AAFFFAAFFFZFZFFFACAFZFFAAFFFAAFFFZFZFFFACCAFFFZF,15.34,13.43,9.08
